id,name,type,tactics,description,severity,cvss_score,cvss_vector
CVE-2017-0144,EternalBlue,CVE,initial-access,Windows SMB Remote Code Execution Vulnerability.,critical,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T1562.002,Disable Security Tools,TTP,defense-evasion,Adversaries may disable or modify security tools to avoid detection.,high,,
CVE-2020-1472,ZeroLogon,CVE,privilege-escalation,Elevation of privilege vulnerability in Windows Netlogon Remote Protocol.,critical,10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T1059,Command and Scripting Interpreter,TTP,execution,"Adversaries may abuse command and scripting interpreters to execute commands, scripts, or binaries.",high,,
T1053,Scheduled Task/Job,TTP,"persistence, privilege-escalation",Adversaries may abuse task scheduling functionality to facilitate execution.,high,,
CVE-2020-0688,Microsoft Exchange Vulnerability,CVE,initial-access,Remote code execution vulnerability in Microsoft Exchange Server.,high,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2019-11510,Pulse Secure VPN Vulnerability,CVE,initial-access,Arbitrary file disclosure vulnerability in Pulse Secure VPN.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2021-44228,Log4Shell,CVE,initial-access,Apache Log4j2 RCE vulnerability allowing remote code execution.,critical,10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T1190,Exploit Public-Facing Application,TTP,initial-access,Adversaries may exploit weaknesses in an Internet-facing computer system or program.,critical,,
T1048,Exfiltration Over Alternative Protocol,TTP,exfiltration,Adversaries may exfiltrate data over a different protocol than that of the command and control channel.,medium,,
T7410,TTP-11,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 11.,high,,
T6465,TTP-12,TTP,execution,Adversaries may perform malicious activity related to TTP 12.,critical,,
T1870,TTP-13,TTP,discovery,Adversaries may perform malicious activity related to TTP 13.,medium,,
CVE-2022-3172,CVE-14,CVE,initial-access,Critical vulnerability in software 14 allowing remote exploitation.,critical,8.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2025-6883,CVE-15,CVE,execution,Critical vulnerability in software 15 allowing remote exploitation.,high,8.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
T2763,TTP-16,TTP,discovery,Adversaries may perform malicious activity related to TTP 16.,critical,,
T3333,TTP-17,TTP,execution,Adversaries may perform malicious activity related to TTP 17.,high,,
T7191,TTP-18,TTP,execution,Adversaries may perform malicious activity related to TTP 18.,medium,,
T7135,TTP-19,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 19.,medium,,
T7337,TTP-20,TTP,discovery,Adversaries may perform malicious activity related to TTP 20.,medium,,
CVE-2021-9153,CVE-21,CVE,execution,Critical vulnerability in software 21 allowing remote exploitation.,high,9.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2024-3072,CVE-22,CVE,privilege-escalation,Critical vulnerability in software 22 allowing remote exploitation.,high,9.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T4630,TTP-23,TTP,impact,Adversaries may perform malicious activity related to TTP 23.,high,,
CVE-2020-8560,CVE-24,CVE,initial-access,Critical vulnerability in software 24 allowing remote exploitation.,high,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2022-1778,CVE-25,CVE,privilege-escalation,Critical vulnerability in software 25 allowing remote exploitation.,critical,7.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T6815,TTP-26,TTP,execution,Adversaries may perform malicious activity related to TTP 26.,high,,
T8515,TTP-27,TTP,discovery,Adversaries may perform malicious activity related to TTP 27.,high,,
CVE-2021-6424,CVE-28,CVE,execution,Critical vulnerability in software 28 allowing remote exploitation.,critical,7.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T7365,TTP-29,TTP,execution,Adversaries may perform malicious activity related to TTP 29.,critical,,
T3756,TTP-30,TTP,discovery,Adversaries may perform malicious activity related to TTP 30.,high,,
CVE-2022-3893,CVE-31,CVE,execution,Critical vulnerability in software 31 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2020-1823,CVE-32,CVE,initial-access,Critical vulnerability in software 32 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T4230,TTP-33,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 33.,high,,
T2259,TTP-34,TTP,discovery,Adversaries may perform malicious activity related to TTP 34.,medium,,
T7199,TTP-35,TTP,discovery,Adversaries may perform malicious activity related to TTP 35.,medium,,
T5756,TTP-36,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 36.,critical,,
T7141,TTP-37,TTP,execution,Adversaries may perform malicious activity related to TTP 37.,medium,,
CVE-2023-3960,CVE-38,CVE,execution,Critical vulnerability in software 38 allowing remote exploitation.,critical,7.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2020-7719,CVE-39,CVE,privilege-escalation,Critical vulnerability in software 39 allowing remote exploitation.,critical,8.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2024-5383,CVE-40,CVE,privilege-escalation,Critical vulnerability in software 40 allowing remote exploitation.,critical,9.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2021-3373,CVE-41,CVE,execution,Critical vulnerability in software 41 allowing remote exploitation.,critical,9.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
T4408,TTP-42,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 42.,critical,,
T6783,TTP-43,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 43.,critical,,
T9458,TTP-44,TTP,impact,Adversaries may perform malicious activity related to TTP 44.,critical,,
T8328,TTP-45,TTP,discovery,Adversaries may perform malicious activity related to TTP 45.,critical,,
CVE-2022-2241,CVE-46,CVE,execution,Critical vulnerability in software 46 allowing remote exploitation.,high,9.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2025-4740,CVE-47,CVE,privilege-escalation,Critical vulnerability in software 47 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2024-4517,CVE-48,CVE,initial-access,Critical vulnerability in software 48 allowing remote exploitation.,critical,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T3053,TTP-49,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 49.,medium,,
T8913,TTP-50,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 50.,critical,,
CVE-2021-9366,CVE-51,CVE,execution,Critical vulnerability in software 51 allowing remote exploitation.,critical,7.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T6276,TTP-52,TTP,execution,Adversaries may perform malicious activity related to TTP 52.,medium,,
CVE-2024-8435,CVE-53,CVE,initial-access,Critical vulnerability in software 53 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T7788,TTP-54,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 54.,critical,,
T2076,TTP-55,TTP,discovery,Adversaries may perform malicious activity related to TTP 55.,high,,
T5150,TTP-56,TTP,discovery,Adversaries may perform malicious activity related to TTP 56.,high,,
CVE-2021-1872,CVE-57,CVE,initial-access,Critical vulnerability in software 57 allowing remote exploitation.,critical,8.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T4854,TTP-58,TTP,execution,Adversaries may perform malicious activity related to TTP 58.,critical,,
CVE-2020-7989,CVE-59,CVE,execution,Critical vulnerability in software 59 allowing remote exploitation.,critical,9.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2021-1586,CVE-60,CVE,initial-access,Critical vulnerability in software 60 allowing remote exploitation.,high,8.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T1955,TTP-61,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 61.,medium,,
CVE-2021-5136,CVE-62,CVE,privilege-escalation,Critical vulnerability in software 62 allowing remote exploitation.,critical,8.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T4317,TTP-63,TTP,discovery,Adversaries may perform malicious activity related to TTP 63.,high,,
CVE-2025-7981,CVE-64,CVE,initial-access,Critical vulnerability in software 64 allowing remote exploitation.,high,9.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T7245,TTP-65,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 65.,critical,,
CVE-2021-3088,CVE-66,CVE,execution,Critical vulnerability in software 66 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T2390,TTP-67,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 67.,critical,,
T1371,TTP-68,TTP,execution,Adversaries may perform malicious activity related to TTP 68.,medium,,
CVE-2023-8115,CVE-69,CVE,privilege-escalation,Critical vulnerability in software 69 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2025-7522,CVE-70,CVE,execution,Critical vulnerability in software 70 allowing remote exploitation.,critical,10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T7181,TTP-71,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 71.,high,,
CVE-2023-4016,CVE-72,CVE,execution,Critical vulnerability in software 72 allowing remote exploitation.,critical,8.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T5122,TTP-73,TTP,execution,Adversaries may perform malicious activity related to TTP 73.,critical,,
CVE-2020-8280,CVE-74,CVE,privilege-escalation,Critical vulnerability in software 74 allowing remote exploitation.,critical,7.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2023-8496,CVE-75,CVE,execution,Critical vulnerability in software 75 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T4477,TTP-76,TTP,impact,Adversaries may perform malicious activity related to TTP 76.,medium,,
T9211,TTP-77,TTP,persistence,Adversaries may perform malicious activity related to TTP 77.,medium,,
T2257,TTP-78,TTP,execution,Adversaries may perform malicious activity related to TTP 78.,medium,,
T2428,TTP-79,TTP,impact,Adversaries may perform malicious activity related to TTP 79.,high,,
T5040,TTP-80,TTP,persistence,Adversaries may perform malicious activity related to TTP 80.,medium,,
CVE-2020-8276,CVE-81,CVE,initial-access,Critical vulnerability in software 81 allowing remote exploitation.,critical,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T3390,TTP-82,TTP,discovery,Adversaries may perform malicious activity related to TTP 82.,high,,
T2471,TTP-83,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 83.,medium,,
CVE-2021-6360,CVE-84,CVE,initial-access,Critical vulnerability in software 84 allowing remote exploitation.,high,9.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T9920,TTP-85,TTP,persistence,Adversaries may perform malicious activity related to TTP 85.,medium,,
CVE-2025-2412,CVE-86,CVE,execution,Critical vulnerability in software 86 allowing remote exploitation.,high,9.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T2657,TTP-87,TTP,discovery,Adversaries may perform malicious activity related to TTP 87.,medium,,
CVE-2025-1541,CVE-88,CVE,initial-access,Critical vulnerability in software 88 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2022-9408,CVE-89,CVE,privilege-escalation,Critical vulnerability in software 89 allowing remote exploitation.,high,9.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T8553,TTP-90,TTP,impact,Adversaries may perform malicious activity related to TTP 90.,high,,
CVE-2025-9108,CVE-91,CVE,privilege-escalation,Critical vulnerability in software 91 allowing remote exploitation.,critical,7.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T2511,TTP-92,TTP,discovery,Adversaries may perform malicious activity related to TTP 92.,medium,,
T6446,TTP-93,TTP,discovery,Adversaries may perform malicious activity related to TTP 93.,medium,,
T1258,TTP-94,TTP,discovery,Adversaries may perform malicious activity related to TTP 94.,critical,,
T4093,TTP-95,TTP,discovery,Adversaries may perform malicious activity related to TTP 95.,critical,,
CVE-2020-1703,CVE-96,CVE,initial-access,Critical vulnerability in software 96 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T3367,TTP-97,TTP,discovery,Adversaries may perform malicious activity related to TTP 97.,high,,
CVE-2023-8724,CVE-98,CVE,privilege-escalation,Critical vulnerability in software 98 allowing remote exploitation.,critical,8.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2025-3154,CVE-99,CVE,execution,Critical vulnerability in software 99 allowing remote exploitation.,critical,7.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2025-1196,CVE-100,CVE,initial-access,Critical vulnerability in software 100 allowing remote exploitation.,high,8.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2023-4990,CVE-101,CVE,execution,Critical vulnerability in software 101 allowing remote exploitation.,high,8.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T3274,TTP-102,TTP,execution,Adversaries may perform malicious activity related to TTP 102.,high,,
CVE-2022-3819,CVE-103,CVE,execution,Critical vulnerability in software 103 allowing remote exploitation.,high,8.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2020-2796,CVE-104,CVE,execution,Critical vulnerability in software 104 allowing remote exploitation.,critical,8.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T4162,TTP-105,TTP,execution,Adversaries may perform malicious activity related to TTP 105.,critical,,
T8520,TTP-106,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 106.,high,,
T3181,TTP-107,TTP,impact,Adversaries may perform malicious activity related to TTP 107.,high,,
T2634,TTP-108,TTP,persistence,Adversaries may perform malicious activity related to TTP 108.,critical,,
CVE-2022-7018,CVE-109,CVE,initial-access,Critical vulnerability in software 109 allowing remote exploitation.,high,9.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2025-3838,CVE-110,CVE,execution,Critical vulnerability in software 110 allowing remote exploitation.,high,7.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T3371,TTP-111,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 111.,high,,
CVE-2025-8430,CVE-112,CVE,execution,Critical vulnerability in software 112 allowing remote exploitation.,critical,9.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2021-4190,CVE-113,CVE,initial-access,Critical vulnerability in software 113 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T2687,TTP-114,TTP,execution,Adversaries may perform malicious activity related to TTP 114.,high,,
CVE-2023-3332,CVE-115,CVE,execution,Critical vulnerability in software 115 allowing remote exploitation.,critical,7.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T6565,TTP-116,TTP,impact,Adversaries may perform malicious activity related to TTP 116.,critical,,
