source,target,type,weight,description
IT-06871,IT-09675,DEPENDS_ON,0.8,L'actif IT-06871 dépend de IT-09675.
IT-04204,IT-06114,DEPENDS_ON,1.0,L'actif IT-04204 dépend de IT-06114.
IT-00578,IT-06181,DEPENDS_ON,0.5,L'actif IT-00578 dépend de IT-06181.
IT-06022,IT-06992,DEPENDS_ON,0.5,L'actif IT-06022 dépend de IT-06992.
IT-05003,IT-06606,DEPENDS_ON,1.0,L'actif IT-05003 dépend de IT-06606.
IT-09865,IT-06708,DEPENDS_ON,0.5,L'actif IT-09865 dépend de IT-06708.
IT-07958,IT-07940,DEPENDS_ON,0.8,L'actif IT-07958 dépend de IT-07940.
IT-03067,IT-05632,DEPENDS_ON,0.8,L'actif IT-03067 dépend de IT-05632.
IT-07367,IT-04567,DEPENDS_ON,1.0,L'actif IT-07367 dépend de IT-04567.
IT-05873,IT-04381,DEPENDS_ON,1.0,L'actif IT-05873 dépend de IT-04381.
IT-09660,IT-09570,DEPENDS_ON,1.0,L'actif IT-09660 dépend de IT-09570.
IT-02465,IT-09817,DEPENDS_ON,1.0,L'actif IT-02465 dépend de IT-09817.
IT-07179,IT-07387,DEPENDS_ON,1.0,L'actif IT-07179 dépend de IT-07387.
IT-08631,IT-00789,DEPENDS_ON,1.0,L'actif IT-08631 dépend de IT-00789.
IT-02201,IT-04768,DEPENDS_ON,0.5,L'actif IT-02201 dépend de IT-04768.
IT-02599,IT-02594,DEPENDS_ON,0.8,L'actif IT-02599 dépend de IT-02594.
IT-06871,IT-09653,DEPENDS_ON,0.5,L'actif IT-06871 dépend de IT-09653.
IT-02064,IT-08495,DEPENDS_ON,0.8,L'actif IT-02064 dépend de IT-08495.
IT-02587,IT-04529,DEPENDS_ON,1.0,L'actif IT-02587 dépend de IT-04529.
IT-03105,IT-07079,DEPENDS_ON,1.0,L'actif IT-03105 dépend de IT-07079.
IT-05431,IT-02397,DEPENDS_ON,0.5,L'actif IT-05431 dépend de IT-02397.
IT-05712,IT-09377,DEPENDS_ON,0.8,L'actif IT-05712 dépend de IT-09377.
IT-00246,IT-02005,DEPENDS_ON,0.8,L'actif IT-00246 dépend de IT-02005.
IT-09411,IT-05759,DEPENDS_ON,0.8,L'actif IT-09411 dépend de IT-05759.
IT-02183,IT-07957,DEPENDS_ON,1.0,L'actif IT-02183 dépend de IT-07957.
IT-05781,IT-04933,DEPENDS_ON,1.0,L'actif IT-05781 dépend de IT-04933.
IT-02273,IT-01826,DEPENDS_ON,0.8,L'actif IT-02273 dépend de IT-01826.
IT-04458,IT-03642,DEPENDS_ON,1.0,L'actif IT-04458 dépend de IT-03642.
IT-06856,IT-01412,DEPENDS_ON,0.5,L'actif IT-06856 dépend de IT-01412.
IT-07433,IT-01274,DEPENDS_ON,0.5,L'actif IT-07433 dépend de IT-01274.
IT-05711,IT-03432,DEPENDS_ON,0.8,L'actif IT-05711 dépend de IT-03432.
IT-05879,IT-00402,DEPENDS_ON,1.0,L'actif IT-05879 dépend de IT-00402.
IT-05767,IT-01452,DEPENDS_ON,0.8,L'actif IT-05767 dépend de IT-01452.
IT-05633,IT-00053,DEPENDS_ON,1.0,L'actif IT-05633 dépend de IT-00053.
IT-05965,IT-09923,DEPENDS_ON,0.5,L'actif IT-05965 dépend de IT-09923.
IT-09727,IT-08543,DEPENDS_ON,1.0,L'actif IT-09727 dépend de IT-08543.
IT-09328,IT-07438,DEPENDS_ON,0.5,L'actif IT-09328 dépend de IT-07438.
IT-08513,IT-03299,DEPENDS_ON,0.5,L'actif IT-08513 dépend de IT-03299.
IT-02060,IT-09359,DEPENDS_ON,0.5,L'actif IT-02060 dépend de IT-09359.
IT-06435,IT-00154,DEPENDS_ON,0.8,L'actif IT-06435 dépend de IT-00154.
IT-07160,IT-02648,DEPENDS_ON,1.0,L'actif IT-07160 dépend de IT-02648.
IT-08865,IT-04087,DEPENDS_ON,1.0,L'actif IT-08865 dépend de IT-04087.
IT-05854,IT-06467,DEPENDS_ON,0.8,L'actif IT-05854 dépend de IT-06467.
IT-00387,IT-06117,DEPENDS_ON,0.5,L'actif IT-00387 dépend de IT-06117.
