source,target,type,impact_score,mitigation
T1955,IT-03923,TARGETS,0.84,Isoler IT-03923 et appliquer les correctifs pour T1955.
T5990,IT-02133,TARGETS,0.69,Isoler IT-02133 et appliquer les correctifs pour T5990.
CVE-2025-4740,IT-04422,TARGETS,0.7,Isoler IT-04422 et appliquer les correctifs pour CVE-2025-4740.
T6443,IT-00010,TARGETS,0.85,Isoler IT-00010 et appliquer les correctifs pour T6443.
T8280,IT-03625,TARGETS,0.96,Isoler IT-03625 et appliquer les correctifs pour T8280.
CVE-2025-5888,IT-07723,TARGETS,0.51,Isoler IT-07723 et appliquer les correctifs pour CVE-2025-5888.
T3845,IT-00692,TARGETS,0.66,Isoler IT-00692 et appliquer les correctifs pour T3845.
CVE-2025-9375,IT-02401,TARGETS,0.6,Isoler IT-02401 et appliquer les correctifs pour CVE-2025-9375.
CVE-2023-9047,IT-00615,TARGETS,0.75,Isoler IT-00615 et appliquer les correctifs pour CVE-2023-9047.
T3915,IT-03757,TARGETS,0.86,Isoler IT-03757 et appliquer les correctifs pour T3915.
T1523,IT-02647,TARGETS,0.98,Isoler IT-02647 et appliquer les correctifs pour T1523.
CVE-2022-1770,IT-02418,TARGETS,0.68,Isoler IT-02418 et appliquer les correctifs pour CVE-2022-1770.
CVE-2021-5136,IT-05664,TARGETS,0.97,Isoler IT-05664 et appliquer les correctifs pour CVE-2021-5136.
T1654,IT-02212,TARGETS,0.89,Isoler IT-02212 et appliquer les correctifs pour T1654.
CVE-2024-8582,IT-02666,TARGETS,0.78,Isoler IT-02666 et appliquer les correctifs pour CVE-2024-8582.
CVE-2020-6600,IT-02212,TARGETS,0.85,Isoler IT-02212 et appliquer les correctifs pour CVE-2020-6600.
T2234,IT-02658,TARGETS,0.65,Isoler IT-02658 et appliquer les correctifs pour T2234.
T6276,IT-04041,TARGETS,0.54,Isoler IT-04041 et appliquer les correctifs pour T6276.
CVE-2022-2517,IT-07655,TARGETS,0.62,Isoler IT-07655 et appliquer les correctifs pour CVE-2022-2517.
CVE-2023-3960,IT-07616,TARGETS,1.0,Isoler IT-07616 et appliquer les correctifs pour CVE-2023-3960.
T3419,IT-09937,TARGETS,0.61,Isoler IT-09937 et appliquer les correctifs pour T3419.
CVE-2023-3221,IT-07819,TARGETS,0.69,Isoler IT-07819 et appliquer les correctifs pour CVE-2023-3221.
T3367,IT-05063,TARGETS,0.94,Isoler IT-05063 et appliquer les correctifs pour T3367.
T6226,IT-02616,TARGETS,0.74,Isoler IT-02616 et appliquer les correctifs pour T6226.
CVE-2023-4076,IT-01689,TARGETS,0.94,Isoler IT-01689 et appliquer les correctifs pour CVE-2023-4076.
CVE-2021-1004,IT-01501,TARGETS,0.85,Isoler IT-01501 et appliquer les correctifs pour CVE-2021-1004.
T9938,IT-05101,TARGETS,0.84,Isoler IT-05101 et appliquer les correctifs pour T9938.
T4754,IT-07802,TARGETS,0.81,Isoler IT-07802 et appliquer les correctifs pour T4754.
T2262,IT-05478,TARGETS,0.78,Isoler IT-05478 et appliquer les correctifs pour T2262.
CVE-2022-4745,IT-09593,TARGETS,0.63,Isoler IT-09593 et appliquer les correctifs pour CVE-2022-4745.
CVE-2024-4917,IT-02109,TARGETS,0.78,Isoler IT-02109 et appliquer les correctifs pour CVE-2024-4917.
CVE-2022-5524,IT-03829,TARGETS,0.54,Isoler IT-03829 et appliquer les correctifs pour CVE-2022-5524.
CVE-2022-7169,IT-05386,TARGETS,0.88,Isoler IT-05386 et appliquer les correctifs pour CVE-2022-7169.
CVE-2021-6649,IT-09881,TARGETS,0.66,Isoler IT-09881 et appliquer les correctifs pour CVE-2021-6649.
CVE-2020-1691,IT-08108,TARGETS,0.85,Isoler IT-08108 et appliquer les correctifs pour CVE-2020-1691.
CVE-2025-1264,IT-07536,TARGETS,0.63,Isoler IT-07536 et appliquer les correctifs pour CVE-2025-1264.
T4188,IT-02332,TARGETS,0.87,Isoler IT-02332 et appliquer les correctifs pour T4188.
CVE-2021-1662,IT-04968,TARGETS,0.66,Isoler IT-04968 et appliquer les correctifs pour CVE-2021-1662.
CVE-2024-1045,IT-04738,TARGETS,0.68,Isoler IT-04738 et appliquer les correctifs pour CVE-2024-1045.
T4188,IT-03497,TARGETS,0.64,Isoler IT-03497 et appliquer les correctifs pour T4188.
T7201,IT-03624,TARGETS,0.75,Isoler IT-03624 et appliquer les correctifs pour T7201.
CVE-2025-3953,IT-03910,TARGETS,0.95,Isoler IT-03910 et appliquer les correctifs pour CVE-2025-3953.
CVE-2022-2624,IT-02659,TARGETS,0.62,Isoler IT-02659 et appliquer les correctifs pour CVE-2022-2624.
