asset_id:ID,type,ip,role,cpe
IT-WS-01,workstation,10.0.0.1,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-02,workstation,10.0.0.2,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-03,workstation,10.0.0.3,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-04,workstation,10.0.0.4,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-05,workstation,10.0.0.5,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-06,workstation,10.0.0.6,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-07,workstation,10.0.0.7,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-08,workstation,10.0.0.8,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-09,workstation,10.0.0.9,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-10,workstation,10.0.0.10,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-11,workstation,10.0.0.11,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-12,workstation,10.0.0.12,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-13,workstation,10.0.0.13,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-14,workstation,10.0.0.14,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-15,workstation,10.0.0.15,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-16,workstation,10.0.0.16,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-17,workstation,10.0.0.17,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-18,workstation,10.0.0.18,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-19,workstation,10.0.0.19,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-20,workstation,10.0.0.20,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-21,workstation,10.0.0.21,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-22,workstation,10.0.0.22,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-23,workstation,10.0.0.23,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-24,workstation,10.0.0.24,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-25,workstation,10.0.0.25,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-26,workstation,10.0.0.26,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-27,workstation,10.0.0.27,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
IT-WS-28,workstation,10.0.0.28,user_endpoint,cpe:2.3:o:microsoft:windows_10:22h2:*:*:*:*:*:*:*
