event_id:ID,timestamp,event_type,status,value,cve
EVT-000000,2026-05-01T10:00:00Z,login,normal,,
EVT-000001,2026-05-01T10:00:01Z,file_access,normal,,
EVT-000002,2026-05-01T10:00:02Z,file_access,normal,,
EVT-000003,2026-05-01T10:00:03Z,login,normal,,
EVT-000004,2026-05-01T10:00:04Z,login,normal,,
EVT-000005,2026-05-01T10:00:05Z,modbus_write,normal,109,
EVT-000006,2026-05-01T10:00:06Z,modbus_write,normal,102,
EVT-000007,2026-05-01T10:00:07Z,file_access,normal,,
EVT-000008,2026-05-01T10:00:08Z,http_request,normal,,
EVT-000009,2026-05-01T10:00:09Z,file_access,normal,,
EVT-000010,2026-05-01T10:00:10Z,modbus_write,normal,59,
EVT-000011,2026-05-01T10:00:11Z,file_access,normal,,
EVT-000012,2026-05-01T10:00:12Z,file_access,normal,,
EVT-000013,2026-05-01T10:00:13Z,modbus_write,normal,66,
EVT-000014,2026-05-01T10:00:14Z,file_access,normal,,
EVT-000015,2026-05-01T10:00:15Z,login,normal,,
EVT-000016,2026-05-01T10:00:16Z,http_request,normal,,
EVT-000017,2026-05-01T10:00:17Z,http_request,normal,,
EVT-000018,2026-05-01T10:00:18Z,login,normal,,
EVT-000019,2026-05-01T10:00:19Z,file_access,normal,,
EVT-000020,2026-05-01T10:00:20Z,file_access,normal,,
EVT-000021,2026-05-01T10:00:21Z,file_access,normal,,
EVT-000022,2026-05-01T10:00:22Z,modbus_write,normal,79,
EVT-000023,2026-05-01T10:00:23Z,modbus_write,normal,101,
EVT-000024,2026-05-01T10:00:24Z,login,normal,,
EVT-000025,2026-05-01T10:00:25Z,http_request,normal,,
EVT-000026,2026-05-01T10:00:26Z,login,normal,,
EVT-000027,2026-05-01T10:00:27Z,login,normal,,
EVT-000028,2026-05-01T10:00:28Z,login,normal,,
EVT-000029,2026-05-01T10:00:29Z,http_request,normal,,
EVT-000030,2026-05-01T10:00:30Z,file_access,normal,,
EVT-000031,2026-05-01T10:00:31Z,file_access,normal,,
EVT-000032,2026-05-01T10:00:32Z,http_request,normal,,
EVT-000033,2026-05-01T10:00:33Z,login,normal,,
EVT-000034,2026-05-01T10:00:34Z,http_request,normal,,
EVT-000035,2026-05-01T10:00:35Z,modbus_write,normal,59,
EVT-000036,2026-05-01T10:00:36Z,modbus_write,normal,91,
EVT-000037,2026-05-01T10:00:37Z,modbus_write,normal,67,
EVT-000038,2026-05-01T10:00:38Z,modbus_write,normal,46,
EVT-000039,2026-05-01T10:00:39Z,http_request,normal,,
EVT-000040,2026-05-01T10:00:40Z,file_access,normal,,
EVT-000041,2026-05-01T10:00:41Z,file_access,normal,,
EVT-000042,2026-05-01T10:00:42Z,read_sensor,normal,72,
EVT-000043,2026-05-01T10:00:43Z,file_access,normal,,
EVT-000044,2026-05-01T10:00:44Z,login,normal,,
EVT-000045,2026-05-01T10:00:45Z,modbus_write,normal,117,
EVT-000046,2026-05-01T10:00:46Z,http_request,normal,,
EVT-000047,2026-05-01T10:00:47Z,http_request,normal,,
EVT-000048,2026-05-01T10:00:48Z,modbus_write,normal,87,
EVT-000049,2026-05-01T10:00:49Z,read_sensor,normal,50,
EVT-000050,2026-05-01T10:00:50Z,http_request,normal,,
EVT-000051,2026-05-01T10:00:51Z,file_access,normal,,
EVT-000052,2026-05-01T10:00:52Z,file_access,normal,,
EVT-000053,2026-05-01T10:00:53Z,login,normal,,
EVT-000054,2026-05-01T10:00:54Z,modbus_write,normal,40,
EVT-000055,2026-05-01T10:00:55Z,read_sensor,normal,92,
EVT-000056,2026-05-01T10:00:56Z,file_access,normal,,
EVT-000057,2026-05-01T10:00:57Z,modbus_write,normal,104,
EVT-000058,2026-05-01T10:00:58Z,file_access,normal,,
EVT-000059,2026-05-01T10:00:59Z,file_access,normal,,
EVT-000060,2026-05-01T10:01:00Z,login,normal,,
EVT-000061,2026-05-01T10:01:01Z,login,normal,,
EVT-000062,2026-05-01T10:01:02Z,http_request,normal,,
EVT-000063,2026-05-01T10:01:03Z,read_sensor,normal,95,
EVT-000064,2026-05-01T10:01:04Z,file_access,normal,,
EVT-000065,2026-05-01T10:01:05Z,login,normal,,
EVT-000066,2026-05-01T10:01:06Z,file_access,normal,,
EVT-000067,2026-05-01T10:01:07Z,login,normal,,
EVT-000068,2026-05-01T10:01:08Z,http_request,normal,,
EVT-000069,2026-05-01T10:01:09Z,file_access,normal,,
EVT-000070,2026-05-01T10:01:10Z,read_sensor,normal,72,
EVT-000071,2026-05-01T10:01:11Z,read_sensor,normal,77,
EVT-000072,2026-05-01T10:01:12Z,file_access,normal,,
EVT-000073,2026-05-01T10:01:13Z,login,normal,,
EVT-000074,2026-05-01T10:01:14Z,http_request,normal,,
EVT-000075,2026-05-01T10:01:15Z,modbus_write,normal,62,
EVT-000076,2026-05-01T10:01:16Z,http_request,normal,,
EVT-000077,2026-05-01T10:01:17Z,file_access,normal,,
EVT-000078,2026-05-01T10:01:18Z,file_access,normal,,
EVT-000079,2026-05-01T10:01:19Z,modbus_write,normal,104,
EVT-000080,2026-05-01T10:01:20Z,read_sensor,normal,81,
EVT-000081,2026-05-01T10:01:21Z,read_sensor,normal,50,
EVT-000082,2026-05-01T10:01:22Z,read_sensor,normal,89,
EVT-000083,2026-05-01T10:01:23Z,http_request,normal,,
EVT-000084,2026-05-01T10:01:24Z,login,normal,,
EVT-000085,2026-05-01T10:01:25Z,modbus_write,normal,120,
EVT-000086,2026-05-01T10:01:26Z,read_sensor,normal,109,
EVT-000087,2026-05-01T10:01:27Z,login,normal,,
EVT-000088,2026-05-01T10:01:28Z,modbus_write,normal,110,
EVT-000089,2026-05-01T10:01:29Z,login,normal,,
EVT-000090,2026-05-01T10:01:30Z,file_access,normal,,
EVT-000091,2026-05-01T10:01:31Z,login,normal,,
EVT-000092,2026-05-01T10:01:32Z,read_sensor,normal,115,
EVT-000093,2026-05-01T10:01:33Z,login,normal,,
EVT-000094,2026-05-01T10:01:34Z,read_sensor,normal,102,
EVT-000095,2026-05-01T10:01:35Z,modbus_write,normal,115,
EVT-000096,2026-05-01T10:01:36Z,file_access,normal,,
EVT-000097,2026-05-01T10:01:37Z,http_request,normal,,
EVT-000098,2026-05-01T10:01:38Z,modbus_write,normal,41,
EVT-000099,2026-05-01T10:01:39Z,login,normal,,
EVT-000100,2026-05-01T10:01:40Z,file_access,normal,,
EVT-000101,2026-05-01T10:01:41Z,modbus_write,normal,113,
EVT-000102,2026-05-01T10:01:42Z,http_request,normal,,
EVT-000103,2026-05-01T10:01:43Z,http_request,normal,,
EVT-000104,2026-05-01T10:01:44Z,read_sensor,normal,90,
EVT-000105,2026-05-01T10:01:45Z,modbus_write,normal,90,
EVT-000106,2026-05-01T10:01:46Z,http_request,normal,,
EVT-000107,2026-05-01T10:01:47Z,http_request,normal,,
EVT-000108,2026-05-01T10:01:48Z,modbus_write,normal,120,
EVT-000109,2026-05-01T10:01:49Z,http_request,normal,,
EVT-000110,2026-05-01T10:01:50Z,read_sensor,normal,58,
EVT-000111,2026-05-01T10:01:51Z,http_request,normal,,
EVT-000112,2026-05-01T10:01:52Z,read_sensor,normal,75,
EVT-000113,2026-05-01T10:01:53Z,login,normal,,
EVT-000114,2026-05-01T10:01:54Z,http_request,normal,,
EVT-000115,2026-05-01T10:01:55Z,http_request,normal,,
EVT-000116,2026-05-01T10:01:56Z,read_sensor,normal,57,
EVT-000117,2026-05-01T10:01:57Z,login,normal,,
EVT-000118,2026-05-01T10:01:58Z,modbus_write,normal,115,
EVT-000119,2026-05-01T10:01:59Z,login,normal,,
EVT-000120,2026-05-01T10:02:00Z,file_access,normal,,
EVT-000121,2026-05-01T10:02:01Z,login,normal,,
EVT-000122,2026-05-01T10:02:02Z,http_request,normal,,
EVT-000123,2026-05-01T10:02:03Z,http_request,normal,,
EVT-000124,2026-05-01T10:02:04Z,read_sensor,normal,119,
EVT-000125,2026-05-01T10:02:05Z,login,normal,,
EVT-000126,2026-05-01T10:02:06Z,read_sensor,normal,41,
EVT-000127,2026-05-01T10:02:07Z,file_access,normal,,
EVT-000128,2026-05-01T10:02:08Z,read_sensor,normal,50,
EVT-000129,2026-05-01T10:02:09Z,modbus_write,normal,104,
EVT-000130,2026-05-01T10:02:10Z,read_sensor,normal,65,
EVT-000131,2026-05-01T10:02:11Z,login,normal,,
EVT-000132,2026-05-01T10:02:12Z,file_access,normal,,
EVT-000133,2026-05-01T10:02:13Z,file_access,normal,,
EVT-000134,2026-05-01T10:02:14Z,modbus_write,normal,105,
EVT-000135,2026-05-01T10:02:15Z,login,normal,,
EVT-000136,2026-05-01T10:02:16Z,file_access,normal,,
EVT-000137,2026-05-01T10:02:17Z,http_request,normal,,
EVT-000138,2026-05-01T10:02:18Z,login,normal,,
EVT-000139,2026-05-01T10:02:19Z,login,normal,,
EVT-000140,2026-05-01T10:02:20Z,http_request,normal,,
EVT-000141,2026-05-01T10:02:21Z,login,normal,,
EVT-000142,2026-05-01T10:02:22Z,modbus_write,normal,114,
EVT-000143,2026-05-01T10:02:23Z,http_request,normal,,
EVT-000144,2026-05-01T10:02:24Z,read_sensor,normal,101,
EVT-000145,2026-05-01T10:02:25Z,login,normal,,
EVT-000146,2026-05-01T10:02:26Z,modbus_write,normal,77,
EVT-000147,2026-05-01T10:02:27Z,read_sensor,normal,56,
EVT-000148,2026-05-01T10:02:28Z,file_access,normal,,
EVT-000149,2026-05-01T10:02:29Z,modbus_write,normal,103,
EVT-000150,2026-05-01T10:02:30Z,file_access,normal,,
EVT-000151,2026-05-01T10:02:31Z,modbus_write,normal,75,
EVT-000152,2026-05-01T10:02:32Z,file_access,normal,,
EVT-000153,2026-05-01T10:02:33Z,login,normal,,
EVT-000154,2026-05-01T10:02:34Z,file_access,normal,,
EVT-000155,2026-05-01T10:02:35Z,login,normal,,
EVT-000156,2026-05-01T10:02:36Z,login,normal,,
EVT-000157,2026-05-01T10:02:37Z,read_sensor,normal,109,
EVT-000158,2026-05-01T10:02:38Z,http_request,normal,,
EVT-000159,2026-05-01T10:02:39Z,http_request,normal,,
EVT-000160,2026-05-01T10:02:40Z,file_access,normal,,
EVT-000161,2026-05-01T10:02:41Z,login,normal,,
EVT-000162,2026-05-01T10:02:42Z,http_request,normal,,
EVT-000163,2026-05-01T10:02:43Z,read_sensor,normal,89,
EVT-000164,2026-05-01T10:02:44Z,http_request,normal,,
EVT-000165,2026-05-01T10:02:45Z,read_sensor,normal,46,
EVT-000166,2026-05-01T10:02:46Z,file_access,normal,,
EVT-000167,2026-05-01T10:02:47Z,http_request,normal,,
EVT-000168,2026-05-01T10:02:48Z,http_request,normal,,
EVT-000169,2026-05-01T10:02:49Z,modbus_write,normal,92,
EVT-000170,2026-05-01T10:02:50Z,file_access,normal,,
EVT-000171,2026-05-01T10:02:51Z,file_access,normal,,
EVT-000172,2026-05-01T10:02:52Z,login,normal,,
EVT-000173,2026-05-01T10:02:53Z,read_sensor,normal,112,
EVT-000174,2026-05-01T10:02:54Z,http_request,normal,,
EVT-000175,2026-05-01T10:02:55Z,http_request,normal,,
EVT-000176,2026-05-01T10:02:56Z,http_request,normal,,
EVT-000177,2026-05-01T10:02:57Z,http_request,normal,,
EVT-000178,2026-05-01T10:02:58Z,read_sensor,normal,51,
EVT-000179,2026-05-01T10:02:59Z,login,normal,,
EVT-000180,2026-05-01T10:03:00Z,modbus_write,normal,51,
EVT-000181,2026-05-01T10:03:01Z,modbus_write,normal,105,
EVT-000182,2026-05-01T10:03:02Z,login,normal,,
EVT-000183,2026-05-01T10:03:03Z,http_request,normal,,
EVT-000184,2026-05-01T10:03:04Z,http_request,normal,,
EVT-000185,2026-05-01T10:03:05Z,modbus_write,normal,74,
EVT-000186,2026-05-01T10:03:06Z,login,normal,,
EVT-000187,2026-05-01T10:03:07Z,read_sensor,normal,63,
EVT-000188,2026-05-01T10:03:08Z,file_access,normal,,
EVT-000189,2026-05-01T10:03:09Z,login,normal,,
EVT-000190,2026-05-01T10:03:10Z,login,normal,,
EVT-000191,2026-05-01T10:03:11Z,http_request,normal,,
EVT-000192,2026-05-01T10:03:12Z,read_sensor,normal,51,
EVT-000193,2026-05-01T10:03:13Z,login,normal,,
EVT-000194,2026-05-01T10:03:14Z,read_sensor,normal,85,
EVT-000195,2026-05-01T10:03:15Z,read_sensor,normal,83,
EVT-000196,2026-05-01T10:03:16Z,read_sensor,normal,59,
EVT-000197,2026-05-01T10:03:17Z,read_sensor,normal,61,
EVT-000198,2026-05-01T10:03:18Z,http_request,normal,,
