:START_ID,:END_ID,:TYPE
ATTACK-001,EVT-040000,INCLUDES
ATTACK-001,EVT-040001,INCLUDES
ATTACK-001,EVT-040002,INCLUDES
ATTACK-001,EVT-040003,INCLUDES
ATTACK-001,EVT-040004,INCLUDES
ATTACK-001,EVT-040005,INCLUDES
ATTACK-001,EVT-040006,INCLUDES
ATTACK-001,EVT-040007,INCLUDES
ATTACK-001,EVT-040008,INCLUDES
ATTACK-001,EVT-040009,INCLUDES
ATTACK-001,EVT-040010,INCLUDES
ATTACK-001,EVT-040011,INCLUDES
ATTACK-001,EVT-040012,INCLUDES
ATTACK-001,EVT-040013,INCLUDES
ATTACK-001,EVT-040014,INCLUDES
ATTACK-001,EVT-040015,INCLUDES
ATTACK-001,EVT-040016,INCLUDES
ATTACK-001,EVT-040017,INCLUDES
ATTACK-001,EVT-040018,INCLUDES
ATTACK-001,EVT-040019,INCLUDES
ATTACK-001,EVT-040020,INCLUDES
ATTACK-001,EVT-040021,INCLUDES
ATTACK-001,EVT-040022,INCLUDES
ATTACK-001,EVT-040023,INCLUDES
ATTACK-001,EVT-040024,INCLUDES
ATTACK-001,EVT-040025,INCLUDES
ATTACK-001,EVT-040026,INCLUDES
ATTACK-001,EVT-040027,INCLUDES
ATTACK-001,EVT-040028,INCLUDES
ATTACK-001,EVT-040029,INCLUDES
ATTACK-001,EVT-040030,INCLUDES
ATTACK-001,EVT-040031,INCLUDES
ATTACK-001,EVT-040032,INCLUDES
ATTACK-001,EVT-040033,INCLUDES
ATTACK-001,EVT-040034,INCLUDES
ATTACK-001,EVT-040035,INCLUDES
ATTACK-001,EVT-040036,INCLUDES
ATTACK-001,EVT-040037,INCLUDES
ATTACK-001,EVT-040038,INCLUDES
ATTACK-001,EVT-040039,INCLUDES
ATTACK-001,EVT-040040,INCLUDES
ATTACK-001,EVT-040041,INCLUDES
ATTACK-001,EVT-040042,INCLUDES
ATTACK-001,EVT-040043,INCLUDES
ATTACK-001,EVT-040044,INCLUDES
ATTACK-001,EVT-040045,INCLUDES
ATTACK-001,EVT-040046,INCLUDES
ATTACK-001,EVT-040047,INCLUDES
ATTACK-001,EVT-040048,INCLUDES
ATTACK-001,EVT-040049,INCLUDES
ATTACK-001,EVT-040050,INCLUDES
ATTACK-001,EVT-040051,INCLUDES
ATTACK-001,EVT-040052,INCLUDES
ATTACK-001,EVT-040053,INCLUDES
ATTACK-001,EVT-040054,INCLUDES
ATTACK-001,EVT-040055,INCLUDES
ATTACK-001,EVT-040056,INCLUDES
ATTACK-001,EVT-040057,INCLUDES
ATTACK-001,EVT-040058,INCLUDES
ATTACK-001,EVT-040059,INCLUDES
ATTACK-001,EVT-040060,INCLUDES
ATTACK-001,EVT-040061,INCLUDES
ATTACK-001,EVT-040062,INCLUDES
ATTACK-001,EVT-040063,INCLUDES
ATTACK-001,EVT-040064,INCLUDES
ATTACK-001,EVT-040065,INCLUDES
ATTACK-001,EVT-040066,INCLUDES
ATTACK-001,EVT-040067,INCLUDES
ATTACK-001,EVT-040068,INCLUDES
ATTACK-001,EVT-040069,INCLUDES
ATTACK-001,EVT-040070,INCLUDES
ATTACK-001,EVT-040071,INCLUDES
ATTACK-001,EVT-040072,INCLUDES
ATTACK-001,EVT-040073,INCLUDES
ATTACK-001,EVT-040074,INCLUDES
ATTACK-001,EVT-040075,INCLUDES
ATTACK-001,EVT-040076,INCLUDES
ATTACK-001,EVT-040077,INCLUDES
ATTACK-001,EVT-040078,INCLUDES
ATTACK-001,EVT-040079,INCLUDES
ATTACK-001,EVT-040080,INCLUDES
ATTACK-001,EVT-040081,INCLUDES
ATTACK-001,EVT-040082,INCLUDES
ATTACK-001,EVT-040083,INCLUDES
ATTACK-001,EVT-040084,INCLUDES
ATTACK-001,EVT-040085,INCLUDES
ATTACK-001,EVT-040086,INCLUDES
ATTACK-001,EVT-040087,INCLUDES
ATTACK-001,EVT-040088,INCLUDES
ATTACK-001,EVT-040089,INCLUDES
ATTACK-001,EVT-040090,INCLUDES
ATTACK-001,EVT-040091,INCLUDES
ATTACK-001,EVT-040092,INCLUDES
ATTACK-001,EVT-040093,INCLUDES
ATTACK-001,EVT-040094,INCLUDES
ATTACK-001,EVT-040095,INCLUDES
ATTACK-001,EVT-040096,INCLUDES
ATTACK-001,EVT-040097,INCLUDES
ATTACK-001,EVT-040098,INCLUDES
ATTACK-001,EVT-040099,INCLUDES
ATTACK-001,EVT-040100,INCLUDES
ATTACK-001,EVT-040101,INCLUDES
ATTACK-001,EVT-040102,INCLUDES
ATTACK-001,EVT-040103,INCLUDES
ATTACK-001,EVT-040104,INCLUDES
ATTACK-001,EVT-040105,INCLUDES
ATTACK-001,EVT-040106,INCLUDES
ATTACK-001,EVT-040107,INCLUDES
ATTACK-001,EVT-040108,INCLUDES
ATTACK-001,EVT-040109,INCLUDES
ATTACK-001,EVT-040110,INCLUDES
ATTACK-001,EVT-040111,INCLUDES
ATTACK-001,EVT-040112,INCLUDES
ATTACK-001,EVT-040113,INCLUDES
ATTACK-001,EVT-040114,INCLUDES
ATTACK-001,EVT-040115,INCLUDES
ATTACK-001,EVT-040116,INCLUDES
ATTACK-001,EVT-040117,INCLUDES
ATTACK-001,EVT-040118,INCLUDES
ATTACK-001,EVT-040119,INCLUDES
ATTACK-001,EVT-040120,INCLUDES
ATTACK-001,EVT-040121,INCLUDES
ATTACK-001,EVT-040122,INCLUDES
ATTACK-001,EVT-040123,INCLUDES
ATTACK-001,EVT-040124,INCLUDES
ATTACK-001,EVT-040125,INCLUDES
ATTACK-001,EVT-040126,INCLUDES
ATTACK-001,EVT-040127,INCLUDES
ATTACK-001,EVT-040128,INCLUDES
ATTACK-001,EVT-040129,INCLUDES
ATTACK-001,EVT-040130,INCLUDES
ATTACK-001,EVT-040131,INCLUDES
ATTACK-001,EVT-040132,INCLUDES
ATTACK-001,EVT-040133,INCLUDES
ATTACK-001,EVT-040134,INCLUDES
ATTACK-001,EVT-040135,INCLUDES
ATTACK-001,EVT-040136,INCLUDES
ATTACK-001,EVT-040137,INCLUDES
ATTACK-001,EVT-040138,INCLUDES
ATTACK-001,EVT-040139,INCLUDES
ATTACK-001,EVT-040140,INCLUDES
ATTACK-001,EVT-040141,INCLUDES
ATTACK-001,EVT-040142,INCLUDES
ATTACK-001,EVT-040143,INCLUDES
ATTACK-001,EVT-040144,INCLUDES
ATTACK-001,EVT-040145,INCLUDES
ATTACK-001,EVT-040146,INCLUDES
ATTACK-001,EVT-040147,INCLUDES
ATTACK-001,EVT-040148,INCLUDES
ATTACK-001,EVT-040149,INCLUDES
ATTACK-001,EVT-040150,INCLUDES
ATTACK-001,EVT-040151,INCLUDES
ATTACK-001,EVT-040152,INCLUDES
ATTACK-001,EVT-040153,INCLUDES
ATTACK-001,EVT-040154,INCLUDES
ATTACK-001,EVT-040155,INCLUDES
ATTACK-001,EVT-040156,INCLUDES
ATTACK-001,EVT-040157,INCLUDES
ATTACK-001,EVT-040158,INCLUDES
