:START_ID,:END_ID,:TYPE
EVT-000000,IT-WS-12,TARGETS
EVT-000001,IT-WS-04,TARGETS
EVT-000002,OT-HMI-01,TARGETS
EVT-000003,IT-WS-26,TARGETS
EVT-000004,OT-HMI-10,TARGETS
EVT-000005,IT-SRV-10,TARGETS
EVT-000006,IT-SRV-05,TARGETS
EVT-000007,IT-WS-21,TARGETS
EVT-000008,IT-WS-20,TARGETS
EVT-000009,OT-HMI-01,TARGETS
EVT-000010,IT-WS-23,TARGETS
EVT-000011,IT-WS-18,TARGETS
EVT-000012,IT-SRV-08,TARGETS
EVT-000013,OT-PLC-04,TARGETS
EVT-000014,OT-HMI-06,TARGETS
EVT-000015,IT-WS-29,TARGETS
EVT-000016,IT-WS-06,TARGETS
EVT-000017,OT-HMI-04,TARGETS
EVT-000018,OT-HMI-07,TARGETS
EVT-000019,OT-HMI-10,TARGETS
EVT-000020,IT-WS-12,TARGETS
EVT-000021,IT-WS-20,TARGETS
EVT-000022,IT-WS-27,TARGETS
EVT-000023,IT-WS-12,TARGETS
EVT-000024,IT-SRV-15,TARGETS
EVT-000025,IT-WS-20,TARGETS
EVT-000026,OT-PLC-01,TARGETS
EVT-000027,IT-SRV-02,TARGETS
EVT-000028,IT-SRV-04,TARGETS
EVT-000029,IT-WS-29,TARGETS
EVT-000030,IT-SRV-06,TARGETS
EVT-000031,IT-WS-12,TARGETS
EVT-000032,IT-WS-21,TARGETS
EVT-000033,IT-WS-29,TARGETS
EVT-000034,OT-PLC-06,TARGETS
EVT-000035,IT-WS-05,TARGETS
EVT-000036,OT-HMI-04,TARGETS
EVT-000037,IT-WS-07,TARGETS
EVT-000038,OT-HMI-09,TARGETS
EVT-000039,IT-SRV-11,TARGETS
EVT-000040,OT-PLC-06,TARGETS
EVT-000041,OT-HMI-09,TARGETS
EVT-000042,IT-SRV-12,TARGETS
EVT-000043,OT-PLC-08,TARGETS
EVT-000044,IT-WS-30,TARGETS
EVT-000045,IT-WS-17,TARGETS
EVT-000046,IT-SRV-01,TARGETS
EVT-000047,IT-WS-10,TARGETS
EVT-000048,OT-HMI-03,TARGETS
EVT-000049,IT-SRV-12,TARGETS
EVT-000050,IT-SRV-14,TARGETS
EVT-000051,IT-WS-20,TARGETS
EVT-000052,OT-PLC-08,TARGETS
EVT-000053,IT-SRV-07,TARGETS
EVT-000054,OT-PLC-10,TARGETS
EVT-000055,IT-WS-17,TARGETS
EVT-000056,IT-WS-02,TARGETS
EVT-000057,IT-SRV-06,TARGETS
EVT-000058,IT-WS-03,TARGETS
EVT-000059,IT-SRV-11,TARGETS
EVT-000060,OT-HMI-04,TARGETS
EVT-000061,IT-WS-09,TARGETS
EVT-000062,IT-WS-06,TARGETS
EVT-000063,OT-PLC-07,TARGETS
EVT-000064,IT-SRV-02,TARGETS
EVT-000065,IT-WS-02,TARGETS
EVT-000066,IT-WS-15,TARGETS
EVT-000067,IT-SRV-02,TARGETS
EVT-000068,IT-SRV-11,TARGETS
EVT-000069,IT-WS-07,TARGETS
EVT-000070,OT-PLC-10,TARGETS
EVT-000071,IT-SRV-11,TARGETS
EVT-000072,OT-HMI-06,TARGETS
EVT-000073,IT-SRV-03,TARGETS
EVT-000074,IT-WS-16,TARGETS
EVT-000075,IT-WS-05,TARGETS
EVT-000076,IT-SRV-15,TARGETS
EVT-000077,IT-WS-14,TARGETS
EVT-000078,IT-WS-05,TARGETS
EVT-000079,IT-WS-22,TARGETS
EVT-000080,IT-WS-16,TARGETS
EVT-000081,IT-WS-12,TARGETS
EVT-000082,IT-WS-10,TARGETS
EVT-000083,IT-WS-03,TARGETS
EVT-000084,IT-SRV-05,TARGETS
EVT-000085,IT-SRV-10,TARGETS
EVT-000086,IT-SRV-03,TARGETS
EVT-000087,IT-WS-21,TARGETS
EVT-000088,IT-SRV-03,TARGETS
EVT-000089,IT-WS-03,TARGETS
EVT-000090,OT-HMI-09,TARGETS
EVT-000091,IT-WS-30,TARGETS
EVT-000092,IT-WS-17,TARGETS
EVT-000093,IT-WS-19,TARGETS
EVT-000094,OT-HMI-01,TARGETS
EVT-000095,IT-SRV-03,TARGETS
EVT-000096,OT-PLC-10,TARGETS
EVT-000097,OT-PLC-10,TARGETS
EVT-000098,OT-PLC-09,TARGETS
EVT-000099,IT-WS-19,TARGETS
EVT-000100,IT-WS-17,TARGETS
EVT-000101,IT-WS-10,TARGETS
EVT-000102,IT-SRV-06,TARGETS
EVT-000103,OT-HMI-06,TARGETS
EVT-000104,OT-HMI-09,TARGETS
EVT-000105,IT-SRV-11,TARGETS
EVT-000106,IT-WS-28,TARGETS
EVT-000107,IT-SRV-03,TARGETS
EVT-000108,IT-SRV-05,TARGETS
EVT-000109,IT-SRV-08,TARGETS
EVT-000110,OT-PLC-05,TARGETS
EVT-000111,OT-HMI-10,TARGETS
EVT-000112,OT-HMI-02,TARGETS
EVT-000113,OT-PLC-10,TARGETS
EVT-000114,IT-WS-24,TARGETS
EVT-000115,IT-WS-30,TARGETS
EVT-000116,IT-SRV-10,TARGETS
EVT-000117,IT-WS-09,TARGETS
EVT-000118,OT-PLC-06,TARGETS
EVT-000119,IT-WS-08,TARGETS
EVT-000120,IT-WS-27,TARGETS
EVT-000121,IT-SRV-03,TARGETS
EVT-000122,IT-WS-29,TARGETS
EVT-000123,IT-WS-20,TARGETS
EVT-000124,IT-WS-24,TARGETS
EVT-000125,OT-PLC-03,TARGETS
EVT-000126,OT-HMI-02,TARGETS
EVT-000127,IT-SRV-08,TARGETS
EVT-000128,IT-WS-21,TARGETS
EVT-000129,OT-HMI-02,TARGETS
EVT-000130,IT-WS-19,TARGETS
EVT-000131,IT-WS-13,TARGETS
EVT-000132,IT-SRV-10,TARGETS
EVT-000133,IT-WS-05,TARGETS
EVT-000134,OT-PLC-06,TARGETS
EVT-000135,IT-SRV-15,TARGETS
EVT-000136,IT-WS-21,TARGETS
EVT-000137,OT-HMI-10,TARGETS
EVT-000138,IT-WS-14,TARGETS
EVT-000139,OT-PLC-03,TARGETS
EVT-000140,OT-HMI-07,TARGETS
EVT-000141,IT-WS-15,TARGETS
EVT-000142,OT-HMI-05,TARGETS
EVT-000143,IT-WS-19,TARGETS
EVT-000144,OT-PLC-07,TARGETS
EVT-000145,OT-HMI-02,TARGETS
EVT-000146,IT-SRV-08,TARGETS
EVT-000147,OT-HMI-08,TARGETS
EVT-000148,OT-PLC-07,TARGETS
EVT-000149,IT-SRV-01,TARGETS
EVT-000150,OT-HMI-08,TARGETS
EVT-000151,OT-PLC-02,TARGETS
EVT-000152,IT-WS-06,TARGETS
EVT-000153,IT-WS-22,TARGETS
EVT-000154,OT-HMI-02,TARGETS
EVT-000155,OT-PLC-03,TARGETS
EVT-000156,OT-PLC-04,TARGETS
EVT-000157,IT-SRV-06,TARGETS
EVT-000158,IT-WS-19,TARGETS
EVT-000159,IT-WS-13,TARGETS
EVT-000160,IT-WS-18,TARGETS
EVT-000161,IT-WS-26,TARGETS
EVT-000162,IT-SRV-15,TARGETS
EVT-000163,OT-PLC-06,TARGETS
EVT-000164,IT-WS-20,TARGETS
EVT-000165,IT-WS-12,TARGETS
EVT-000166,IT-SRV-07,TARGETS
EVT-000167,IT-SRV-06,TARGETS
EVT-000168,IT-WS-03,TARGETS
EVT-000169,IT-SRV-14,TARGETS
EVT-000170,IT-WS-20,TARGETS
EVT-000171,OT-PLC-06,TARGETS
EVT-000172,IT-SRV-12,TARGETS
EVT-000173,IT-WS-30,TARGETS
EVT-000174,IT-WS-25,TARGETS
EVT-000175,OT-PLC-01,TARGETS
EVT-000176,IT-WS-14,TARGETS
EVT-000177,IT-SRV-10,TARGETS
EVT-000178,IT-WS-29,TARGETS
EVT-000179,IT-SRV-06,TARGETS
EVT-000180,IT-WS-27,TARGETS
EVT-000181,IT-WS-25,TARGETS
EVT-000182,IT-WS-04,TARGETS
EVT-000183,IT-WS-27,TARGETS
EVT-000184,IT-WS-20,TARGETS
EVT-000185,IT-WS-05,TARGETS
EVT-000186,OT-HMI-05,TARGETS
EVT-000187,OT-HMI-05,TARGETS
EVT-000188,IT-SRV-13,TARGETS
EVT-000189,IT-WS-28,TARGETS
EVT-000190,IT-WS-22,TARGETS
EVT-000191,IT-WS-26,TARGETS
EVT-000192,IT-WS-19,TARGETS
EVT-000193,OT-PLC-01,TARGETS
EVT-000194,IT-WS-02,TARGETS
EVT-000195,IT-WS-20,TARGETS
EVT-000196,IT-WS-19,TARGETS
EVT-000197,OT-PLC-06,TARGETS
EVT-000198,IT-WS-01,TARGETS
EVT-000199,IT-WS-07,TARGETS
EVT-000200,OT-HMI-05,TARGETS
EVT-000201,IT-SRV-15,TARGETS
EVT-000202,IT-SRV-05,TARGETS
EVT-000203,IT-WS-09,TARGETS
EVT-000204,IT-SRV-13,TARGETS
EVT-000205,OT-HMI-03,TARGETS
EVT-000206,IT-WS-21,TARGETS
EVT-000207,IT-WS-05,TARGETS
EVT-000208,IT-WS-23,TARGETS
EVT-000209,IT-WS-29,TARGETS
EVT-000210,OT-PLC-09,TARGETS
EVT-000211,IT-SRV-10,TARGETS
EVT-000212,IT-SRV-13,TARGETS
EVT-000213,OT-PLC-02,TARGETS
EVT-000214,IT-WS-26,TARGETS
EVT-000215,IT-WS-08,TARGETS
EVT-000216,OT-PLC-07,TARGETS
EVT-000217,IT-SRV-14,TARGETS
EVT-000218,IT-SRV-13,TARGETS
EVT-000219,OT-PLC-03,TARGETS
EVT-000220,OT-PLC-05,TARGETS
EVT-000221,OT-HMI-05,TARGETS
EVT-000222,OT-HMI-06,TARGETS
EVT-000223,IT-WS-19,TARGETS
EVT-000224,IT-WS-13,TARGETS
EVT-000225,IT-WS-29,TARGETS
EVT-000226,IT-WS-11,TARGETS
EVT-000227,IT-SRV-11,TARGETS
EVT-000228,IT-WS-26,TARGETS
EVT-000229,IT-WS-05,TARGETS
EVT-000230,OT-HMI-02,TARGETS
EVT-000231,IT-SRV-14,TARGETS
EVT-000232,IT-SRV-10,TARGETS
EVT-000233,IT-WS-23,TARGETS
EVT-000234,IT-WS-07,TARGETS
EVT-000235,OT-HMI-09,TARGETS
EVT-000236,OT-HMI-05,TARGETS
EVT-000237,IT-WS-02,TARGETS
EVT-000238,IT-WS-28,TARGETS
EVT-000239,IT-WS-14,TARGETS
EVT-000240,IT-WS-08,TARGETS
EVT-000241,OT-HMI-10,TARGETS
EVT-000242,IT-WS-26,TARGETS
EVT-000243,OT-HMI-09,TARGETS
EVT-000244,IT-SRV-04,TARGETS
EVT-000245,OT-HMI-02,TARGETS
EVT-000246,IT-WS-24,TARGETS
EVT-000247,IT-WS-19,TARGETS
EVT-000248,IT-WS-05,TARGETS
EVT-000249,IT-SRV-09,TARGETS
EVT-000250,IT-WS-24,TARGETS
EVT-000251,IT-WS-19,TARGETS
EVT-000252,IT-SRV-08,TARGETS
EVT-000253,IT-SRV-07,TARGETS
EVT-000254,IT-SRV-03,TARGETS
EVT-000255,IT-SRV-08,TARGETS
EVT-000256,IT-WS-10,TARGETS
EVT-000257,OT-PLC-08,TARGETS
EVT-000258,OT-HMI-03,TARGETS
EVT-000259,IT-SRV-02,TARGETS
EVT-000260,IT-SRV-15,TARGETS
EVT-000261,OT-HMI-07,TARGETS
EVT-000262,OT-PLC-10,TARGETS
EVT-000263,OT-HMI-07,TARGETS
EVT-000264,IT-WS-26,TARGETS
EVT-000265,IT-WS-27,TARGETS
EVT-000266,IT-WS-06,TARGETS
EVT-000267,IT-WS-25,TARGETS
EVT-000268,IT-SRV-08,TARGETS
EVT-000269,IT-WS-18,TARGETS
EVT-000270,OT-HMI-03,TARGETS
EVT-000271,IT-WS-06,TARGETS
EVT-000272,IT-WS-27,TARGETS
EVT-000273,OT-PLC-02,TARGETS
EVT-000274,IT-WS-09,TARGETS
EVT-000275,IT-WS-01,TARGETS
EVT-000276,IT-WS-12,TARGETS
EVT-000277,IT-WS-20,TARGETS
EVT-000278,OT-PLC-05,TARGETS
EVT-000279,IT-WS-24,TARGETS
EVT-000280,IT-WS-23,TARGETS
EVT-000281,IT-SRV-14,TARGETS
EVT-000282,IT-SRV-15,TARGETS
EVT-000283,OT-HMI-02,TARGETS
EVT-000284,OT-HMI-08,TARGETS
EVT-000285,OT-HMI-09,TARGETS
EVT-000286,IT-WS-22,TARGETS
EVT-000287,IT-SRV-10,TARGETS
EVT-000288,IT-WS-05,TARGETS
EVT-000289,OT-PLC-07,TARGETS
EVT-000290,IT-SRV-10,TARGETS
EVT-000291,OT-PLC-01,TARGETS
EVT-000292,IT-WS-02,TARGETS
EVT-000293,IT-WS-21,TARGETS
EVT-000294,OT-PLC-01,TARGETS
EVT-000295,IT-WS-06,TARGETS
EVT-000296,IT-WS-22,TARGETS
EVT-000297,OT-HMI-04,TARGETS
EVT-000298,IT-WS-19,TARGETS
EVT-000299,OT-HMI-10,TARGETS
EVT-000300,OT-HMI-02,TARGETS
EVT-000301,IT-SRV-06,TARGETS
EVT-000302,IT-WS-21,TARGETS
EVT-000303,IT-WS-07,TARGETS
EVT-000304,IT-WS-26,TARGETS
EVT-000305,OT-PLC-05,TARGETS
EVT-000306,IT-WS-25,TARGETS
EVT-000307,IT-WS-04,TARGETS
EVT-000308,IT-WS-19,TARGETS
EVT-000309,IT-WS-21,TARGETS
EVT-000310,IT-SRV-07,TARGETS
EVT-000311,OT-PLC-02,TARGETS
EVT-000312,IT-WS-22,TARGETS
EVT-000313,IT-SRV-07,TARGETS
EVT-000314,IT-SRV-07,TARGETS
EVT-000315,IT-WS-21,TARGETS
EVT-000316,IT-SRV-09,TARGETS
EVT-000317,OT-PLC-10,TARGETS
EVT-000318,OT-HMI-01,TARGETS
EVT-000319,IT-WS-17,TARGETS
EVT-000320,IT-WS-13,TARGETS
EVT-000321,IT-WS-28,TARGETS
EVT-000322,IT-WS-02,TARGETS
EVT-000323,IT-SRV-02,TARGETS
EVT-000324,IT-WS-18,TARGETS
EVT-000325,IT-SRV-12,TARGETS
EVT-000326,IT-SRV-03,TARGETS
EVT-000327,OT-HMI-04,TARGETS
EVT-000328,IT-WS-19,TARGETS
EVT-000329,IT-WS-19,TARGETS
EVT-000330,OT-HMI-04,TARGETS
EVT-000331,IT-WS-09,TARGETS
EVT-000332,IT-WS-13,TARGETS
EVT-000333,IT-WS-25,TARGETS
EVT-000334,OT-PLC-07,TARGETS
EVT-000335,IT-WS-22,TARGETS
EVT-000336,IT-WS-20,TARGETS
EVT-000337,IT-WS-21,TARGETS
EVT-000338,IT-WS-05,TARGETS
EVT-000339,OT-HMI-06,TARGETS
EVT-000340,IT-WS-18,TARGETS
EVT-000341,IT-WS-05,TARGETS
EVT-000342,IT-WS-22,TARGETS
EVT-000343,IT-WS-17,TARGETS
EVT-000344,IT-WS-20,TARGETS
EVT-000345,IT-WS-30,TARGETS
EVT-000346,OT-HMI-03,TARGETS
EVT-000347,IT-WS-10,TARGETS
EVT-000348,OT-HMI-02,TARGETS
EVT-000349,IT-WS-04,TARGETS
EVT-000350,IT-SRV-02,TARGETS
EVT-000351,OT-HMI-08,TARGETS
EVT-000352,OT-HMI-10,TARGETS
EVT-000353,IT-WS-25,TARGETS
EVT-000354,IT-WS-09,TARGETS
EVT-000355,IT-WS-26,TARGETS
EVT-000356,OT-HMI-01,TARGETS
EVT-000357,IT-WS-05,TARGETS
EVT-000358,IT-WS-29,TARGETS
EVT-000359,OT-HMI-02,TARGETS
EVT-000360,OT-HMI-06,TARGETS
EVT-000361,IT-SRV-15,TARGETS
EVT-000362,IT-WS-13,TARGETS
EVT-000363,IT-WS-02,TARGETS
EVT-000364,IT-WS-07,TARGETS
EVT-000365,IT-WS-21,TARGETS
EVT-000366,IT-WS-01,TARGETS
EVT-000367,IT-WS-24,TARGETS
EVT-000368,IT-WS-10,TARGETS
EVT-000369,IT-WS-10,TARGETS
EVT-000370,OT-PLC-05,TARGETS
EVT-000371,IT-WS-10,TARGETS
EVT-000372,IT-WS-26,TARGETS
EVT-000373,IT-WS-18,TARGETS
EVT-000374,OT-HMI-10,TARGETS
EVT-000375,IT-WS-09,TARGETS
EVT-000376,IT-WS-09,TARGETS
EVT-000377,OT-HMI-08,TARGETS
EVT-000378,OT-HMI-10,TARGETS
EVT-000379,OT-PLC-02,TARGETS
EVT-000380,IT-WS-08,TARGETS
EVT-000381,IT-SRV-01,TARGETS
EVT-000382,OT-PLC-09,TARGETS
EVT-000383,IT-WS-19,TARGETS
EVT-000384,OT-HMI-02,TARGETS
EVT-000385,IT-WS-25,TARGETS
EVT-000386,IT-WS-17,TARGETS
EVT-000387,IT-SRV-10,TARGETS
EVT-000388,OT-HMI-07,TARGETS
EVT-000389,OT-PLC-04,TARGETS
EVT-000390,IT-WS-09,TARGETS
EVT-000391,IT-WS-11,TARGETS
EVT-000392,OT-PLC-07,TARGETS
EVT-000393,OT-HMI-04,TARGETS
EVT-000394,IT-WS-04,TARGETS
EVT-000395,IT-WS-07,TARGETS
EVT-000396,IT-WS-10,TARGETS
EVT-000397,IT-SRV-15,TARGETS
EVT-000398,OT-HMI-02,TARGETS
EVT-000399,IT-SRV-08,TARGETS
EVT-000400,OT-HMI-08,TARGETS
EVT-000401,IT-SRV-03,TARGETS
EVT-000402,IT-SRV-14,TARGETS
EVT-000403,OT-HMI-02,TARGETS
EVT-000404,IT-WS-11,TARGETS
EVT-000405,IT-WS-06,TARGETS
EVT-000406,OT-PLC-02,TARGETS
EVT-000407,OT-HMI-08,TARGETS
EVT-000408,OT-HMI-02,TARGETS
EVT-000409,IT-SRV-09,TARGETS
EVT-000410,IT-WS-30,TARGETS
EVT-000411,IT-WS-26,TARGETS
EVT-000412,IT-WS-23,TARGETS
EVT-000413,IT-WS-17,TARGETS
EVT-000414,OT-HMI-02,TARGETS
EVT-000415,IT-SRV-05,TARGETS
EVT-000416,IT-WS-10,TARGETS
EVT-000417,IT-WS-08,TARGETS
EVT-000418,IT-WS-04,TARGETS
EVT-000419,IT-WS-25,TARGETS
EVT-000420,OT-HMI-06,TARGETS
EVT-000421,OT-HMI-09,TARGETS
EVT-000422,OT-HMI-05,TARGETS
EVT-000423,OT-PLC-03,TARGETS
EVT-000424,OT-HMI-08,TARGETS
EVT-000425,OT-HMI-04,TARGETS
EVT-000426,OT-PLC-03,TARGETS
EVT-000427,IT-SRV-07,TARGETS
EVT-000428,IT-WS-29,TARGETS
